datetime,price_eur_mwh,load_mw,wind_onshore_mw,wind_offshore_mw,solar_mw,hydro_mw,biomass_mw,lignite_mw,hard_coal_mw,natural_gas_mw,nuclear_mw,pumped_storage_mw,renewable_mw,renewable_share
2026-07-30 18:00:00+00:00,198.31,58255.91,12239.93,1141.35,1013.85,1291.63,4087.71,10538.37,4138.68,6609.04,0.0,3024.06,19774.47,0.3394414403620165
2026-07-30 19:00:00+00:00,207.03,57213.91,11371.61,1793.5,32.0,1203.35,4121.21,10547.55,4139.7,6754.33,0.0,3811.39,18521.670000000002,0.3237266951341029
2026-07-30 20:00:00+00:00,190.3,52997.25,8303.28,1776.89,0.0,1170.32,4047.8,10530.85,4129.73,6766.71,0.0,4230.37,15298.29,0.28866195887522467
2026-07-30 21:00:00+00:00,170.83,49435.12,6241.4,1151.45,0.0,1195.23,3906.03,10549.67,4116.83,6465.73,0.0,3179.31,12494.11,0.25273752749057754
2026-07-30 22:00:00+00:00,168.21,47030.98,4910.91,625.82,0.0,1126.31,3731.04,10596.24,4109.34,5897.37,0.0,2265.29,10394.079999999998,0.22100496311154896
2026-07-30 23:00:00+00:00,162.95,45815.44,3781.76,646.09,0.0,1162.79,3656.85,10612.52,4083.4,5809.13,0.0,661.73,9247.49,0.20184221738348468
2026-07-31 00:00:00+00:00,155.16,45220.8,2751.55,425.56,0.0,1074.14,3641.49,10567.92,4077.81,5736.74,0.0,462.11,7892.74,0.17453782330255102
2026-07-31 01:00:00+00:00,154.17,45294.01,2229.38,329.35,0.0,1073.17,3655.89,10343.69,4070.9,5684.31,0.0,188.01,7287.79,0.16089964213811053
2026-07-31 02:00:00+00:00,157.34,46072.61,2299.4,317.82,0.0,1089.39,3697.59,10336.2,4068.93,5685.17,0.0,176.22,7404.200000000001,0.16070719674878417
2026-07-31 03:00:00+00:00,165.51,47904.79,2088.34,404.61,66.52,1241.5,3765.87,10359.66,4091.56,5719.44,0.0,1111.81,7566.84,0.15795581193446417
2026-07-31 04:00:00+00:00,179.09,53170.31,1899.65,937.48,2261.24,1316.54,3949.61,10296.7,4119.61,5852.71,0.0,3106.56,10364.52,0.19493059190363948
2026-07-31 05:00:00+00:00,172.53,57118.28,1721.61,1321.93,8579.28,1217.62,4047.2,10179.38,4076.33,5872.4,0.0,1666.82,16887.64,0.2956608637374935
2026-07-31 06:00:00+00:00,159.08,59628.6,1490.88,1313.66,17937.23,1263.01,4009.63,9889.21,3634.35,5556.8,0.0,303.86,26014.41,0.4362740362846017
2026-07-31 07:00:00+00:00,139.39,59323.96,1142.59,1276.82,28488.94,1324.41,3893.79,9277.34,3367.05,4597.96,0.0,75.82,36126.549999999996,0.6089706418789305
2026-07-31 08:00:00+00:00,119.61,58067.76,1038.85,1096.48,37879.77,1263.14,3789.23,8312.9,3010.31,3590.5,0.0,65.08,45067.47,0.7761186241728628
